exception_id,module,control_id,control_name,review_priority,entity_id,detail,exposure_factor,rule_version,detected_at,review_priority_score
EX00090,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000507,acct A00333; amount 69.18 unmatched,1.0,1.3.1,2026-07-01,6.0
EX00091,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000552,acct A00151; amount 234.21 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00092,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000911,acct A00376; amount 170.13 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00093,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000919,"acct A00107; amount 2,495.76 unmatched",1.5,1.3.1,2026-07-01,9.0
EX00094,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000941,acct A00128; amount 494.84 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00095,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001034,acct A00282; amount 44.72 unmatched,1.0,1.3.1,2026-07-01,6.0
EX00096,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001226,acct A00290; amount 694.00 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00097,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001649,acct A00043; amount 609.19 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00098,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001747,acct A00159; amount 83.90 unmatched,1.0,1.3.1,2026-07-01,6.0
EX00099,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0002008,acct A00163; amount 333.61 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00100,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0002736,acct A00268; amount 884.45 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00101,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003587,acct A00214; amount 197.95 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00102,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003707,acct A00034; amount 817.30 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00103,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003711,acct A00205; amount 638.49 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00104,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003742,acct A00372; amount 641.34 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00105,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004028,"acct A00388; amount 1,214.47 unmatched",1.5,1.3.1,2026-07-01,9.0
EX00106,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004166,acct A00092; amount 354.55 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00107,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004232,acct A00236; amount 74.66 unmatched,1.0,1.3.1,2026-07-01,6.0
EX00108,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004314,acct A00235; amount 384.44 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00109,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004315,acct A00042; amount 232.71 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00110,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004354,acct A00385; amount 255.23 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00111,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004365,"acct A00207; amount 3,791.12 unmatched",1.5,1.3.1,2026-07-01,9.0
EX00112,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004641,acct A00020; amount 89.89 unmatched,1.0,1.3.1,2026-07-01,6.0
EX00113,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004670,acct A00111; amount 155.93 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
EX00114,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0004866,acct A00158; amount 439.42 unmatched,1.2,1.3.1,2026-07-01,7.199999999999999
